model,flipped,lower,median,upper
bq,all,0.16182353877986205,0.23123235786164298,0.2995084896905011
bq,flipped,0.049645831894114305,0.15050839146594103,0.25287616460435103
bq,same,0.22299231310938278,0.30672832732950817,0.3909507680563815
bqp,all,0.08060220231344174,0.14590570212109283,0.21341154994776315
bqp,flipped,0.08592889954608246,0.18555521141532602,0.2873857478804272
bqp,same,0.19483873390864045,0.2811026325766134,0.36613825320898175
hc,all,0.17126065676673063,0.2434991305434296,0.3132486468342528
hc,flipped,0.08397669081117264,0.18611726552430863,0.2844209389138798
hc,same,0.19789303121474716,0.29418462537203727,0.392765626240058
oc,all,-0.03858378649086636,0.061716886530336815,0.1554111881073632
oc,flipped,0.044604444214111985,0.16877368182792052,0.2757061193693343
oc,same,-0.14332126570481515,0.00027826756828873065,0.13607191238980187
th,all,-0.038695630629740865,0.06288603297808275,0.15533192929817322
th,flipped,0.0467883250503395,0.16908178182426048,0.27910195753084643
th,same,-0.14193316948286128,0.0005560195804198978,0.14275278359508248
