stimulus,theta,flipped,model,chance
0,0.0,flipped,bq,False
0,0.0,flipped,bqp,False
0,0.0,flipped,exp,False
0,0.0,flipped,hc,False
0,0.0,flipped,oc,False
0,0.0,flipped,th,False
0,0.0,same,bq,False
0,0.0,same,bqp,False
0,0.0,same,exp,False
0,0.0,same,hc,False
0,0.0,same,oc,False
0,0.0,same,th,False
0,20.0,flipped,bq,False
0,20.0,flipped,bqp,False
0,20.0,flipped,exp,False
0,20.0,flipped,hc,False
0,20.0,flipped,oc,False
0,20.0,flipped,th,False
0,20.0,same,bq,False
0,20.0,same,bqp,False
0,20.0,same,exp,False
0,20.0,same,hc,False
0,20.0,same,oc,False
0,20.0,same,th,False
0,40.0,flipped,bq,False
0,40.0,flipped,bqp,False
0,40.0,flipped,exp,False
0,40.0,flipped,hc,False
0,40.0,flipped,oc,False
0,40.0,flipped,th,False
0,40.0,same,bq,False
0,40.0,same,bqp,False
0,40.0,same,exp,False
0,40.0,same,hc,False
0,40.0,same,oc,False
0,40.0,same,th,False
0,60.0,flipped,bq,False
0,60.0,flipped,bqp,False
0,60.0,flipped,exp,False
0,60.0,flipped,hc,True
0,60.0,flipped,oc,False
0,60.0,flipped,th,False
0,60.0,same,bq,False
0,60.0,same,bqp,False
0,60.0,same,exp,False
0,60.0,same,hc,True
0,60.0,same,oc,False
0,60.0,same,th,False
0,80.0,flipped,bq,False
0,80.0,flipped,bqp,False
0,80.0,flipped,exp,False
0,80.0,flipped,hc,True
0,80.0,flipped,oc,False
0,80.0,flipped,th,False
0,80.0,same,bq,False
0,80.0,same,bqp,False
0,80.0,same,exp,False
0,80.0,same,hc,True
0,80.0,same,oc,False
0,80.0,same,th,False
0,100.0,flipped,bq,False
0,100.0,flipped,bqp,False
0,100.0,flipped,exp,False
0,100.0,flipped,hc,True
0,100.0,flipped,oc,False
0,100.0,flipped,th,False
0,100.0,same,bq,False
0,100.0,same,bqp,False
0,100.0,same,exp,False
0,100.0,same,hc,True
0,100.0,same,oc,False
0,100.0,same,th,False
0,120.0,flipped,bq,False
0,120.0,flipped,bqp,False
0,120.0,flipped,exp,False
0,120.0,flipped,hc,False
0,120.0,flipped,oc,False
0,120.0,flipped,th,False
0,120.0,same,bq,False
0,120.0,same,bqp,False
0,120.0,same,exp,False
0,120.0,same,hc,False
0,120.0,same,oc,False
0,120.0,same,th,False
0,140.0,flipped,bq,False
0,140.0,flipped,bqp,False
0,140.0,flipped,exp,False
0,140.0,flipped,hc,False
0,140.0,flipped,oc,False
0,140.0,flipped,th,False
0,140.0,same,bq,False
0,140.0,same,bqp,False
0,140.0,same,exp,False
0,140.0,same,hc,False
0,140.0,same,oc,False
0,140.0,same,th,False
0,160.0,flipped,bq,False
0,160.0,flipped,bqp,False
0,160.0,flipped,exp,False
0,160.0,flipped,hc,False
0,160.0,flipped,oc,False
0,160.0,flipped,th,False
0,160.0,same,bq,False
0,160.0,same,bqp,False
0,160.0,same,exp,True
0,160.0,same,hc,False
0,160.0,same,oc,False
0,160.0,same,th,False
0,180.0,flipped,bq,False
0,180.0,flipped,bqp,False
0,180.0,flipped,exp,False
0,180.0,flipped,hc,False
0,180.0,flipped,oc,False
0,180.0,flipped,th,False
0,180.0,same,bq,False
0,180.0,same,bqp,False
0,180.0,same,exp,False
0,180.0,same,hc,False
0,180.0,same,oc,False
0,180.0,same,th,False
0,200.0,flipped,bq,False
0,200.0,flipped,bqp,False
0,200.0,flipped,exp,False
0,200.0,flipped,hc,False
0,200.0,flipped,oc,False
0,200.0,flipped,th,False
0,200.0,same,bq,False
0,200.0,same,bqp,False
0,200.0,same,exp,True
0,200.0,same,hc,False
0,200.0,same,oc,False
0,200.0,same,th,False
0,220.0,flipped,bq,False
0,220.0,flipped,bqp,False
0,220.0,flipped,exp,False
0,220.0,flipped,hc,False
0,220.0,flipped,oc,False
0,220.0,flipped,th,False
0,220.0,same,bq,False
0,220.0,same,bqp,False
0,220.0,same,exp,False
0,220.0,same,hc,False
0,220.0,same,oc,False
0,220.0,same,th,False
0,240.0,flipped,bq,False
0,240.0,flipped,bqp,False
0,240.0,flipped,exp,False
0,240.0,flipped,hc,False
0,240.0,flipped,oc,False
0,240.0,flipped,th,False
0,240.0,same,bq,False
0,240.0,same,bqp,False
0,240.0,same,exp,False
0,240.0,same,hc,True
0,240.0,same,oc,False
0,240.0,same,th,False
0,260.0,flipped,bq,False
0,260.0,flipped,bqp,False
0,260.0,flipped,exp,False
0,260.0,flipped,hc,True
0,260.0,flipped,oc,False
0,260.0,flipped,th,False
0,260.0,same,bq,False
0,260.0,same,bqp,False
0,260.0,same,exp,False
0,260.0,same,hc,True
0,260.0,same,oc,False
0,260.0,same,th,False
0,280.0,flipped,bq,False
0,280.0,flipped,bqp,False
0,280.0,flipped,exp,False
0,280.0,flipped,hc,True
0,280.0,flipped,oc,False
0,280.0,flipped,th,False
0,280.0,same,bq,False
0,280.0,same,bqp,False
0,280.0,same,exp,False
0,280.0,same,hc,True
0,280.0,same,oc,False
0,280.0,same,th,False
0,300.0,flipped,bq,False
0,300.0,flipped,bqp,False
0,300.0,flipped,exp,False
0,300.0,flipped,hc,True
0,300.0,flipped,oc,False
0,300.0,flipped,th,False
0,300.0,same,bq,False
0,300.0,same,bqp,False
0,300.0,same,exp,False
0,300.0,same,hc,True
0,300.0,same,oc,False
0,300.0,same,th,False
0,320.0,flipped,bq,False
0,320.0,flipped,bqp,False
0,320.0,flipped,exp,False
0,320.0,flipped,hc,False
0,320.0,flipped,oc,False
0,320.0,flipped,th,False
0,320.0,same,bq,False
0,320.0,same,bqp,False
0,320.0,same,exp,False
0,320.0,same,hc,False
0,320.0,same,oc,False
0,320.0,same,th,False
0,340.0,flipped,bq,False
0,340.0,flipped,bqp,False
0,340.0,flipped,exp,False
0,340.0,flipped,hc,False
0,340.0,flipped,oc,False
0,340.0,flipped,th,False
0,340.0,same,bq,False
0,340.0,same,bqp,False
0,340.0,same,exp,False
0,340.0,same,hc,False
0,340.0,same,oc,False
0,340.0,same,th,False
1,0.0,flipped,bq,False
1,0.0,flipped,bqp,False
1,0.0,flipped,exp,False
1,0.0,flipped,hc,False
1,0.0,flipped,oc,False
1,0.0,flipped,th,False
1,0.0,same,bq,False
1,0.0,same,bqp,False
1,0.0,same,exp,False
1,0.0,same,hc,False
1,0.0,same,oc,False
1,0.0,same,th,False
1,20.0,flipped,bq,False
1,20.0,flipped,bqp,False
1,20.0,flipped,exp,False
1,20.0,flipped,hc,False
1,20.0,flipped,oc,False
1,20.0,flipped,th,False
1,20.0,same,bq,False
1,20.0,same,bqp,False
1,20.0,same,exp,False
1,20.0,same,hc,False
1,20.0,same,oc,False
1,20.0,same,th,False
1,40.0,flipped,bq,False
1,40.0,flipped,bqp,False
1,40.0,flipped,exp,False
1,40.0,flipped,hc,False
1,40.0,flipped,oc,False
1,40.0,flipped,th,False
1,40.0,same,bq,False
1,40.0,same,bqp,False
1,40.0,same,exp,False
1,40.0,same,hc,False
1,40.0,same,oc,False
1,40.0,same,th,False
1,60.0,flipped,bq,False
1,60.0,flipped,bqp,False
1,60.0,flipped,exp,False
1,60.0,flipped,hc,False
1,60.0,flipped,oc,False
1,60.0,flipped,th,False
1,60.0,same,bq,False
1,60.0,same,bqp,False
1,60.0,same,exp,False
1,60.0,same,hc,False
1,60.0,same,oc,False
1,60.0,same,th,False
1,80.0,flipped,bq,False
1,80.0,flipped,bqp,False
1,80.0,flipped,exp,False
1,80.0,flipped,hc,False
1,80.0,flipped,oc,False
1,80.0,flipped,th,False
1,80.0,same,bq,False
1,80.0,same,bqp,False
1,80.0,same,exp,False
1,80.0,same,hc,False
1,80.0,same,oc,False
1,80.0,same,th,False
1,100.0,flipped,bq,False
1,100.0,flipped,bqp,False
1,100.0,flipped,exp,False
1,100.0,flipped,hc,False
1,100.0,flipped,oc,False
1,100.0,flipped,th,False
1,100.0,same,bq,False
1,100.0,same,bqp,False
1,100.0,same,exp,False
1,100.0,same,hc,False
1,100.0,same,oc,False
1,100.0,same,th,False
1,120.0,flipped,bq,False
1,120.0,flipped,bqp,False
1,120.0,flipped,exp,False
1,120.0,flipped,hc,False
1,120.0,flipped,oc,False
1,120.0,flipped,th,False
1,120.0,same,bq,False
1,120.0,same,bqp,False
1,120.0,same,exp,False
1,120.0,same,hc,False
1,120.0,same,oc,False
1,120.0,same,th,False
1,140.0,flipped,bq,False
1,140.0,flipped,bqp,False
1,140.0,flipped,exp,False
1,140.0,flipped,hc,False
1,140.0,flipped,oc,False
1,140.0,flipped,th,False
1,140.0,same,bq,False
1,140.0,same,bqp,False
1,140.0,same,exp,False
1,140.0,same,hc,False
1,140.0,same,oc,False
1,140.0,same,th,False
