model,flipped,lower,median,upper
bq,all,0.184567762338,0.260715280064,0.334491131627
bq,flipped,0.132966476971,0.248106033593,0.359848477382
bq,same,0.170006781277,0.27407031007,0.373955377151
bqp,all,0.22865318203,0.308905636952,0.386058600607
bqp,flipped,0.153222437514,0.262678197367,0.367315408095
bqp,same,0.127206631942,0.248660572982,0.362305426575
hc,all,0.00780393117504,0.0949342437281,0.180948198763
hc,flipped,0.011897154461,0.130825998228,0.250441217647
hc,same,-0.0600112561302,0.064259018831,0.188922882912
oc,all,0.512161521253,0.562117194927,0.609111074747
oc,flipped,0.411532025363,0.49647557555,0.570007213484
oc,same,0.593609989113,0.651675488134,0.70361476309
th,all,0.317466169665,0.383053809726,0.44827367191
th,flipped,0.235490968565,0.333028990131,0.425545332005
th,same,0.360327618804,0.454684570918,0.540473651435
