,stimulus,theta,flipped,model,lower,median,upper,modtheta
0,0,0.0,flipped,bq,17.202536659,16.4546810924,15.7654559361,0.0
1,0,0.0,flipped,bqp,19.6454018484,18.5145358981,17.4579633226,0.0
2,0,0.0,flipped,exp,1678.54886378,1549.73775574,1442.1450515,0.0
3,0,0.0,flipped,expA,1786.338758,1615.37790799,1458.42408289,0.0
4,0,0.0,flipped,expB,1687.43873739,1496.61383194,1343.92246216,0.0
5,0,0.0,flipped,gs,722.0,722.0,722.0,0.0
6,0,0.0,flipped,hc,8.59778354289,8.35954486922,8.17646353941,0.0
7,0,0.0,flipped,oc,1.0,1.0,1.0,0.0
8,0,0.0,flipped,th,2.0,2.0,2.0,0.0
9,0,0.0,same,bq,16.342965303,15.6441480478,14.9966369715,0.0
10,0,0.0,same,bqp,15.1563553021,14.5203770136,13.9688247606,0.0
11,0,0.0,same,exp,1303.25213008,1224.59804964,1158.14784412,0.0
12,0,0.0,same,expA,1525.84525014,1380.39229732,1267.51696087,0.0
13,0,0.0,same,expB,1175.87226016,1103.21948595,1035.68208546,0.0
14,0,0.0,same,gs,722.0,722.0,722.0,0.0
15,0,0.0,same,hc,8.1580831683,7.95766247971,7.77273389722,0.0
16,0,0.0,same,oc,1.0,1.0,1.0,0.0
17,0,0.0,same,th,1.0,1.0,1.0,0.0
18,0,20.0,flipped,bq,18.1658701659,16.552753546,15.1766604159,20.0
19,0,20.0,flipped,bqp,21.4268867525,19.380416087,17.6769272921,20.0
20,0,20.0,flipped,exp,1984.25020903,1760.56062446,1558.40233716,20.0
21,0,20.0,flipped,expA,2250.98008085,1914.27227389,1634.52778247,20.0
22,0,20.0,flipped,expB,1935.78860302,1618.02704396,1370.37256165,20.0
23,0,20.0,flipped,gs,722.0,722.0,722.0,20.0
24,0,20.0,flipped,hc,16.390326285,15.62976393,14.9233337612,20.0
25,0,20.0,flipped,oc,4.70834423228,4.402054292,4.12076119617,20.0
26,0,20.0,flipped,th,7.61046135736,6.18047341864,5.19813565746,20.0
27,0,20.0,same,bq,19.3985302636,17.8289641104,16.5078442665,20.0
28,0,20.0,same,bqp,16.0885980074,14.3234785105,12.6352256779,20.0
29,0,20.0,same,exp,1694.37038525,1507.5305655,1334.91932933,20.0
30,0,20.0,same,expA,2056.86021827,1824.53660869,1648.51667547,20.0
31,0,20.0,same,expB,1518.08272099,1285.1882174,1100.89808012,20.0
32,0,20.0,same,gs,722.0,722.0,722.0,20.0
33,0,20.0,same,hc,14.8757160893,14.1770769952,13.5976436264,20.0
34,0,20.0,same,oc,4.80054863413,4.48047791764,4.18074765704,20.0
35,0,20.0,same,th,8.53351432141,7.10278287711,6.11395469335,20.0
36,0,40.0,flipped,bq,21.4544946314,19.4867273388,17.7590167124,40.0
37,0,40.0,flipped,bqp,22.6346367395,19.9751754698,17.6724302547,40.0
38,0,40.0,flipped,exp,2419.42650906,2128.15188019,1888.0312572,40.0
39,0,40.0,flipped,expA,2545.52977546,2111.86894817,1796.26488318,40.0
40,0,40.0,flipped,expB,2601.18496663,2141.08290569,1816.76549672,40.0
41,0,40.0,flipped,gs,722.0,722.0,722.0,40.0
42,0,40.0,flipped,hc,25.6920663968,24.6466686685,23.726797107,40.0
43,0,40.0,flipped,oc,9.6342914043,9.18711519586,8.76324860454,40.0
44,0,40.0,flipped,th,10.6052118144,8.31430748127,6.8887672369,40.0
45,0,40.0,same,bq,20.0798693523,18.3393159306,16.8686699567,40.0
46,0,40.0,same,bqp,18.8041056128,16.8697417423,15.2106440733,40.0
47,0,40.0,same,exp,1826.85267977,1633.36739591,1458.31967449,40.0
48,0,40.0,same,expA,2010.83134671,1729.32980745,1487.80416495,40.0
49,0,40.0,same,expB,1807.97705641,1545.44547919,1309.95339447,40.0
50,0,40.0,same,gs,722.0,722.0,722.0,40.0
51,0,40.0,same,hc,23.7751399151,22.7604499638,21.7843563725,40.0
52,0,40.0,same,oc,9.40093852338,8.79521256928,8.22532243208,40.0
53,0,40.0,same,th,10.7071908773,8.62466655066,7.23957418842,40.0
54,0,60.0,flipped,bq,21.26273204,19.1134840944,17.4080371694,60.0
55,0,60.0,flipped,bqp,26.2997556973,23.6867139557,21.3313585401,60.0
56,0,60.0,flipped,exp,2253.7128182,1973.85181337,1712.32318459,60.0
