,modtheta,flipped,model,lower,median,upper
0,0.0,flipped,bq,99.8744973661,99.9886286576,99.9999754513
1,0.0,flipped,bqp,99.8744973661,99.9886286576,99.9999754513
2,0.0,flipped,exp,96.3457045282,97.1378334349,97.8092869811
3,0.0,flipped,expA,94.6391497057,95.9765795716,97.0787618094
4,0.0,flipped,expB,97.3506394789,98.2820738673,98.9672776605
5,0.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
6,0.0,flipped,hc,99.8744973661,99.9886286576,99.9999754513
7,0.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
8,0.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
9,0.0,same,bq,99.8744973661,99.9886286576,99.9999754513
10,0.0,same,bqp,99.8744973661,99.9886286576,99.9999754513
11,0.0,same,exp,98.2486668843,98.7912230852,99.20920103
12,0.0,same,expA,97.2282353651,98.182013515,98.8900169644
13,0.0,same,expB,98.7674622956,99.3832188144,99.7491863575
14,0.0,same,gs,93.9502024786,99.4364679715,99.9987800693
15,0.0,same,hc,99.8744973661,99.9886286576,99.9999754513
16,0.0,same,oc,99.8744973661,99.9886286576,99.9999754513
17,0.0,same,th,99.8744973661,99.9886286576,99.9999754513
18,20.0,flipped,bq,99.7665336414,99.9408607513,99.994604589
19,20.0,flipped,bqp,99.7665336414,99.9408607513,99.994604589
20,20.0,flipped,exp,92.9314778372,94.0277233729,95.0110722124
21,20.0,flipped,expA,90.7071736244,92.4556457144,93.9862770015
22,20.0,flipped,expB,94.1888772129,95.5803433095,96.7387862509
23,20.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
24,20.0,flipped,hc,99.8744973661,99.9886286576,99.9999754513
25,20.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
26,20.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
27,20.0,same,bq,99.7665336414,99.9408607513,99.994604589
28,20.0,same,bqp,99.7665336414,99.9408607513,99.994604589
29,20.0,same,exp,95.6218224437,96.4887268063,97.2366506039
30,20.0,same,expA,93.8490681031,95.2801460386,96.4797126481
31,20.0,same,expB,96.6249879506,97.6817035185,98.494997063
32,20.0,same,gs,93.9502024786,99.4364679715,99.9987800693
33,20.0,same,hc,99.8744973661,99.9886286576,99.9999754513
34,20.0,same,oc,99.8744973661,99.9886286576,99.9999754513
35,20.0,same,th,99.8744973661,99.9886286576,99.9999754513
36,40.0,flipped,bq,97.1433467799,97.8420037057,98.4184138373
37,40.0,flipped,bqp,96.6889655616,97.4420739464,98.0739272533
38,40.0,flipped,exp,87.6410303919,89.0606677268,90.380068778
39,40.0,flipped,expA,85.0226968852,87.1875902516,89.1623645409
40,40.0,flipped,expB,89.0425739338,90.9319270438,92.6108038105
41,40.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
42,40.0,flipped,hc,99.8744973661,99.9886286576,99.9999754513
43,40.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
44,40.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
45,40.0,same,bq,97.2577764115,97.9419859279,98.5037026561
46,40.0,same,bqp,99.114854627,99.4916542877,99.742646851
47,40.0,same,exp,91.6502143106,92.8356898288,93.9114795551
48,40.0,same,expA,90.1869329227,91.9779619783,93.5542350328
49,40.0,same,expB,92.0587173914,93.6790893538,95.076053745
50,40.0,same,gs,93.9502024786,99.4364679715,99.9987800693
51,40.0,same,hc,99.8744973661,99.9886286576,99.9999754513
52,40.0,same,oc,99.8744973661,99.9886286576,99.9999754513
53,40.0,same,th,99.8744973661,99.9886286576,99.9999754513
54,60.0,flipped,bq,94.197021764,95.1924579458,96.0723162003
55,60.0,flipped,bqp,93.2734150825,94.3426011412,95.2983706137
56,60.0,flipped,exp,88.1286742541,89.5224534659,90.8149142828
57,60.0,flipped,expA,84.2464680741,86.4607548749,88.4882603767
58,60.0,flipped,expB,90.8355434061,92.5709261949,94.088316504
59,60.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
60,60.0,flipped,hc,55.2234204674,57.3987665369,59.5551790117
61,60.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
62,60.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
63,60.0,same,bq,95.4600103782,96.342263069,97.1060238203
64,60.0,same,bqp,96.3511626829,97.1421259688,97.8125838155
65,60.0,same,exp,89.2993479296,90.6291672901,91.8548872118
66,60.0,same,expA,88.1096327893,90.0667594115,91.8186690992
67,60.0,same,expB,89.3142880292,91.1774305627,92.829896301
68,60.0,same,gs,93.9502024786,99.4364679715,99.9987800693
69,60.0,same,hc,54.319192195,56.498916554,58.662010041
70,60.0,same,oc,99.8744973661,99.9886286576,99.9999754513
71,60.0,same,th,99.8744973661,99.9886286576,99.9999754513
72,80.0,flipped,bq,94.6891451531,95.6423818927,96.4788986335
73,80.0,flipped,bqp,92.5715434541,93.6927103628,94.7021159718
