,stimulus,modtheta,flipped,model,lower,median,upper
0,0,0.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
1,0,0.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
2,0,0.0,flipped,exp,93.7394151215,97.8316048393,99.5821187553
3,0,0.0,flipped,expA,87.7821064413,95.6778159092,99.1595964861
4,0,0.0,flipped,expB,95.1241540556,99.5483563846,99.9990228337
5,0,0.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
6,0,0.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
7,0,0.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
8,0,0.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
9,0,0.0,same,bq,97.5254729985,99.7733570771,99.9995101927
10,0,0.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
11,0,0.0,same,exp,97.5254729985,99.7733570771,99.9995101927
12,0,0.0,same,expA,95.1241540556,99.5483563846,99.9990228337
13,0,0.0,same,expB,95.1241540556,99.5483563846,99.9990228337
14,0,0.0,same,gs,33.3178245599,90.4474181962,99.978309153
15,0,0.0,same,hc,97.5254729985,99.7733570771,99.9995101927
16,0,0.0,same,oc,97.5254729985,99.7733570771,99.9995101927
17,0,0.0,same,th,97.5254729985,99.7733570771,99.9995101927
18,0,20.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
19,0,20.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
20,0,20.0,flipped,exp,90.7710357959,95.8425573119,98.635015299
21,0,20.0,flipped,expA,87.7821064413,95.6778159092,99.1595964861
22,0,20.0,flipped,expB,87.7821064413,95.6778159092,99.1595964861
23,0,20.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
24,0,20.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
25,0,20.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
26,0,20.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
27,0,20.0,same,bq,97.5254729985,99.7733570771,99.9995101927
28,0,20.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
29,0,20.0,same,exp,89.3899926117,94.8467979494,98.0668188014
30,0,20.0,same,expA,82.0933850382,91.7129443889,97.2392909008
31,0,20.0,same,expB,91.0319648943,97.6501132248,99.7833505825
32,0,20.0,same,gs,33.3178245599,90.4474181962,99.978309153
33,0,20.0,same,hc,97.5254729985,99.7733570771,99.9995101927
34,0,20.0,same,oc,97.5254729985,99.7733570771,99.9995101927
35,0,20.0,same,th,97.5254729985,99.7733570771,99.9995101927
36,0,40.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
37,0,40.0,flipped,bqp,92.2112430574,96.8377466032,99.1479716893
38,0,40.0,flipped,exp,89.3899926117,94.8467979494,98.0668188014
39,0,40.0,flipped,expA,87.7821064413,95.6778159092,99.1595964861
