,modtheta,flipped,model,lower,median,upper
0,0.0,flipped,bq,17.3325362312,17.0414339511,16.7891044106
1,0.0,flipped,bqp,18.8446034656,18.5709878125,18.3012383129
2,0.0,flipped,exp,1544.68953065,1515.17077317,1487.46560052
3,0.0,flipped,expA,1646.2933831,1603.21021528,1559.14871418
4,0.0,flipped,expB,1473.47257033,1439.46727383,1405.64717154
5,0.0,flipped,gs,722.0,722.0,722.0
6,0.0,flipped,hc,12.5058229387,12.3178787321,12.1474423424
7,0.0,flipped,oc,1.0,1.0,1.0
8,0.0,flipped,th,2.0,2.0,2.0
9,0.0,same,bq,17.6003758457,17.3282771179,17.0475860354
10,0.0,same,bqp,16.5175289037,16.2588008827,15.9783192024
11,0.0,same,exp,1293.46361022,1274.26440678,1254.68036611
12,0.0,same,expA,1400.91209453,1370.484393,1340.66356193
13,0.0,same,expB,1219.68750055,1193.27373172,1169.70365463
14,0.0,same,gs,722.0,722.0,722.0
15,0.0,same,hc,12.4618220659,12.2656441487,12.0989010626
16,0.0,same,oc,1.0,1.0,1.0
17,0.0,same,th,1.0,1.0,1.0
18,20.0,flipped,bq,18.7339620192,18.4011870075,18.0810716711
19,20.0,flipped,bqp,20.4355198774,20.0763203293,19.7725774107
20,20.0,flipped,exp,1913.36906779,1873.579229,1836.07808613
21,20.0,flipped,expA,2001.17016748,1941.90848427,1877.76314348
22,20.0,flipped,expB,1870.69617879,1815.83989425,1767.11722516
23,20.0,flipped,gs,722.0,722.0,722.0
24,20.0,flipped,hc,15.9444161809,15.7283025576,15.5085335921
25,20.0,flipped,oc,4.44414728618,4.39590343665,4.34700839788
26,20.0,flipped,th,6.96424731592,6.70562848474,6.47673233132
27,20.0,same,bq,18.6433902413,18.2601799012,17.9122424933
28,20.0,same,bqp,17.2366093158,16.8748602278,16.5031774564
29,20.0,same,exp,1601.61023046,1567.47407834,1533.55895844
30,20.0,same,expA,1695.95469492,1640.99517316,1580.95833215
31,20.0,same,expB,1540.52304736,1501.48632333,1463.34566068
32,20.0,same,gs,722.0,722.0,722.0
33,20.0,same,hc,16.1178253078,15.8971964709,15.6696086348
