model,flipped,lower,median,upper
bq,flipped,0.46350569154301574,0.5448873844396105,0.6183877101795207
bq,same,0.47072502375659003,0.5515874938040941,0.6256305116301497
bqp,flipped,0.4621576704403949,0.5444361169705508,0.6188193102914537
bqp,same,0.4563691214199661,0.5402866099263491,0.6159455574537007
exp,flipped,0.39634273024411504,0.48650217484217323,0.5675843145478753
exp,same,0.5959882006073045,0.6624402809797201,0.7223225426833193
hc,flipped,0.03638261817408155,0.18432526268465332,0.3245321201047554
hc,same,0.02721002588343287,0.17371234559751556,0.31326058230085935
oc,flipped,0.9933273321492899,0.9940607812476219,0.9946768908943807
oc,same,0.9933175546477093,0.9940618888259302,0.9946819226575239
th,flipped,0.49872108836994583,0.5869081739373117,0.6672834010478076
th,same,0.5129497543263621,0.6012466395699665,0.6792575380520496
