,stimulus,modtheta,flipped,model,lower,median,upper
0,0,0.0,flipped,bq,17.2212742005,16.467128667,15.7271980429
1,0,0.0,flipped,bqp,19.6480506797,18.4911862764,17.4805314935
2,0,0.0,flipped,exp,1678.54886378,1549.73775574,1442.1450515
3,0,0.0,flipped,expA,1785.66850602,1616.71631651,1461.36225303
4,0,0.0,flipped,expB,1710.27375464,1498.65396658,1352.20646065
5,0,0.0,flipped,gs,722.0,722.0,722.0
6,0,0.0,flipped,hc,8.56049831859,8.35925496482,8.16084819829
7,0,0.0,flipped,oc,1.0,1.0,1.0
8,0,0.0,flipped,th,2.0,2.0,2.0
9,0,0.0,same,bq,16.3538274565,15.643712358,14.9664370122
10,0,0.0,same,bqp,15.2065054867,14.531183037,13.9621762454
11,0,0.0,same,exp,1303.25213008,1224.59804964,1158.14784412
12,0,0.0,same,expA,1524.64970578,1381.74886401,1262.98371688
13,0,0.0,same,expB,1176.43365457,1100.89168963,1038.65517026
14,0,0.0,same,gs,722.0,722.0,722.0
15,0,0.0,same,hc,8.14638872454,7.9557668547,7.78299319121
16,0,0.0,same,oc,1.0,1.0,1.0
17,0,0.0,same,th,1.0,1.0,1.0
18,0,20.0,flipped,bq,17.5806005136,16.5171192833,15.4881289562
19,0,20.0,flipped,bqp,21.8957725809,20.3356347426,18.8055751064
20,0,20.0,flipped,exp,1944.68300056,1776.78785875,1637.7662641
21,0,20.0,flipped,expA,2211.79047169,1957.84672896,1746.74523349
22,0,20.0,flipped,expB,1834.63131005,1628.40119596,1459.75012184
23,0,20.0,flipped,gs,722.0,722.0,722.0
24,0,20.0,flipped,hc,15.7921872005,15.2942654998,14.764819649
25,0,20.0,flipped,oc,4.69530367156,4.46203288093,4.23636388853
26,0,20.0,flipped,th,7.05878637258,6.08856865558,5.32417142311
27,0,20.0,same,bq,17.9576443317,16.841307643,15.7356561773
28,0,20.0,same,bqp,15.8435092679,14.6790680768,13.5187281773
29,0,20.0,same,exp,1776.66770697,1636.80737563,1499.00955233
30,0,20.0,same,expA,1989.84782157,1787.76657981,1617.32321097
31,0,20.0,same,expB,1716.89830608,1509.85200275,1326.7283742
32,0,20.0,same,gs,722.0,722.0,722.0
33,0,20.0,same,hc,15.3040207703,14.8102762211,14.3096444973
34,0,20.0,same,oc,4.46455264784,4.25672080472,4.06118857452
35,0,20.0,same,th,9.19336902026,7.97379557951,6.96184732876
36,0,40.0,flipped,bq,19.6933395602,18.5042891584,17.371704189
37,0,40.0,flipped,bqp,21.427368666,19.7727000421,18.321778647
38,0,40.0,flipped,exp,2250.72132862,2072.53833079,1904.2787731
39,0,40.0,flipped,expA,2479.89312372,2192.17962856,1964.22914973
40,0,40.0,flipped,expB,2260.31020968,1964.4551601,1748.39883406
41,0,40.0,flipped,gs,722.0,722.0,722.0
42,0,40.0,flipped,hc,24.0431230396,23.2798335355,22.4346286529
43,0,40.0,flipped,oc,9.0707425033,8.72747457968,8.3665641672
44,0,40.0,flipped,th,8.89390163632,7.62334864636,6.75382123455
45,0,40.0,same,bq,19.3280171291,18.0043931384,16.931260901
46,0,40.0,same,bqp,18.0462143835,16.5934749984,15.3381646957
47,0,40.0,same,exp,1892.95071226,1728.75212573,1585.24091134
48,0,40.0,same,expA,2055.93029361,1836.99063644,1657.14757874
49,0,40.0,same,expB,1867.2010381,1637.70968829,1442.98502328
50,0,40.0,same,gs,722.0,722.0,722.0
51,0,40.0,same,hc,24.8102661124,24.076884416,23.3224100077
52,0,40.0,same,oc,9.09568867802,8.72681410259,8.35579385763
53,0,40.0,same,th,9.58860946931,8.30932739756,7.32675727228
54,0,60.0,flipped,bq,19.9379709614,18.7600499413,17.5382395789
55,0,60.0,flipped,bqp,25.0708229411,23.0664943474,21.3941003213
56,0,60.0,flipped,exp,2217.80565691,2022.42972746,1853.68303863
57,0,60.0,flipped,expA,2626.58582103,2330.73085751,2097.7670088
58,0,60.0,flipped,expB,2033.7860454,1796.63953683,1584.3826316
59,0,60.0,flipped,gs,722.0,722.0,722.0
60,0,60.0,flipped,hc,27.3092525043,25.1572664813,23.3583348389
61,0,60.0,flipped,oc,13.4127881447,12.929877115,12.4976506489
62,0,60.0,flipped,th,33.8822592963,30.522529661,27.8423664888
63,0,60.0,same,bq,19.1201461527,17.6953405325,16.4691141983
64,0,60.0,same,bqp,19.1655385462,17.7477707917,16.4174336897
65,0,60.0,same,exp,2033.40156052,1868.30771043,1723.35790835
66,0,60.0,same,expA,2268.48348078,2005.23141487,1774.02909549
67,0,60.0,same,expB,1977.16591975,1763.14771308,1572.00637618
68,0,60.0,same,gs,722.0,722.0,722.0
69,0,60.0,same,hc,28.8205836666,26.1965062917,23.582459689
70,0,60.0,same,oc,13.5213462555,12.9975409321,12.436482459
71,0,60.0,same,th,32.5189709768,28.9964239503,26.3123621183
72,0,80.0,flipped,bq,22.0646081401,20.4972452336,19.1111804682
73,0,80.0,flipped,bqp,24.2555124421,22.2368480545,20.450554961
74,0,80.0,flipped,exp,2404.37325181,2205.48821274,2015.37224053
75,0,80.0,flipped,expA,2635.82928036,2342.31472164,2088.25152112
76,0,80.0,flipped,expB,2338.9942113,2088.01030606,1830.70416145
77,0,80.0,flipped,gs,722.0,722.0,722.0
78,0,80.0,flipped,hc,27.0,25.9743463246,25.0
79,0,80.0,flipped,oc,17.7387986896,17.1225053914,16.551910259
80,0,80.0,flipped,th,35.3790216423,31.8880829208,28.9767589747
81,0,80.0,same,bq,23.3791184628,21.3430234446,19.527151179
82,0,80.0,same,bqp,19.0372636225,17.1777565091,15.6087169794
83,0,80.0,same,exp,2053.80682932,1884.39040447,1729.77357459
84,0,80.0,same,expA,2242.25827067,1959.80624638,1724.25032213
85,0,80.0,same,expB,2060.94917865,1829.96580432,1641.86007997
86,0,80.0,same,gs,722.0,722.0,722.0
87,0,80.0,same,oc,18.0458115866,17.4940782773,16.9104509764
88,0,80.0,same,th,35.0735773829,31.78157934,29.2966266391
89,0,100.0,flipped,bq,22.2557540887,20.3609268701,18.6302196219
90,0,100.0,flipped,bqp,24.9289158761,23.0562842631,21.3868106337
91,0,100.0,flipped,exp,2433.68860612,1903.90664249,1337.33995852
92,0,100.0,flipped,expA,2650.85860653,1638.0416241,952.357863603
93,0,100.0,flipped,expB,2445.01470283,2182.26504169,1974.44150087
94,0,100.0,flipped,gs,722.0,722.0,722.0
95,0,100.0,flipped,oc,22.3028337372,21.6366107064,21.0140009914
96,0,100.0,flipped,th,34.0875471217,31.0551259422,28.7758795064
97,0,100.0,same,bq,22.4500712196,20.8562869132,19.3785731825
98,0,100.0,same,bqp,23.3925162203,21.5388307666,19.6803777838
99,0,100.0,same,exp,2255.03753889,2073.48804663,1911.78402526
100,0,100.0,same,expA,2477.96363374,2221.10479547,1992.04507076
101,0,100.0,same,expB,2190.52868919,1955.94523498,1746.59015028
102,0,100.0,same,gs,722.0,722.0,722.0
103,0,100.0,same,hc,28.0,26.4150943396,25.0
104,0,100.0,same,oc,22.2832883697,21.6366971991,20.7818336564
105,0,100.0,same,th,33.811760374,30.7356632975,27.9937319703
106,0,120.0,flipped,bq,22.9476138211,21.0266399849,19.3350476995
107,0,120.0,flipped,bqp,25.4581864493,23.2817658699,21.3910808477
108,0,120.0,flipped,exp,2545.02684811,2312.66357819,2116.17706292
109,0,120.0,flipped,expA,2633.88863291,2325.09597884,2032.9221326
110,0,120.0,flipped,expB,2638.44897631,2328.86269589,2052.6899142
111,0,120.0,flipped,gs,722.0,722.0,722.0
112,0,120.0,flipped,hc,25.162801104,23.9380626876,22.8953252575
113,0,120.0,flipped,oc,27.3967387439,26.7324863664,26.0379720571
114,0,120.0,flipped,th,20.5026983744,17.0958009536,14.4727105557
115,0,120.0,same,bq,21.2868981231,19.6841341139,18.1853818871
116,0,120.0,same,bqp,21.6283916533,19.8558789671,18.2360823656
117,0,120.0,same,exp,2307.53209323,2119.03539523,1950.08415609
118,0,120.0,same,expA,2434.97630873,2139.82087414,1889.20627026
119,0,120.0,same,expB,2359.04845137,2085.35846772,1873.40858124
120,0,120.0,same,gs,722.0,722.0,722.0
121,0,120.0,same,hc,26.0612733523,24.7630357342,23.4776185873
122,0,120.0,same,oc,27.1546371776,26.5205080845,25.8538798213
123,0,120.0,same,th,28.3593119039,24.1641577865,20.4760498924
124,0,140.0,flipped,bq,24.8089416065,22.4652566329,20.451081863
125,0,140.0,flipped,bqp,26.8049524886,24.31275309,22.4035044833
126,0,140.0,flipped,exp,2900.49564618,2645.76588449,2414.06955414
127,0,140.0,flipped,expA,3161.07134792,2725.35548854,2370.61904444
128,0,140.0,flipped,expB,2929.96259775,2571.99755311,2281.98264078
129,0,140.0,flipped,gs,722.0,722.0,722.0
130,0,140.0,flipped,hc,21.1848597694,20.4423479696,19.69090098
