model,trial,lower,median,upper
exp,1,2175.52005079,2328.72221384,2510.5004305
exp,2,2201.75542549,2328.9615305,2465.78966307
exp,3,2175.42271868,2356.64620782,2548.72048978
exp,4,2194.89932375,2342.62800645,2520.07687108
exp,5,2184.9064336,2339.50866269,2496.97288295
exp,6,2245.36946642,2383.24662874,2556.8332339
exp,7,2213.63621228,2359.20301248,2513.99929855
exp,8,2182.47785116,2355.46419214,2533.24665362
exp,9,2172.56036074,2336.82167524,2531.94812206
exp,10,2342.86052231,2515.97450288,2721.02366496
exp,11,2266.72037079,2433.85610835,2621.79680464
exp,12,2222.89815125,2373.27467549,2539.20197003
exp,13,2290.79113879,2478.891602,2674.65393924
exp,14,2184.65890407,2373.0161895,2560.07118468
exp,15,2177.13352942,2344.14750294,2524.73113595
exp,16,2061.80945149,2206.82258241,2373.43680034
exp,17,2263.77801663,2423.44042186,2620.4223901
exp,18,2214.95871776,2372.20870897,2556.48317366
exp,19,2212.90114882,2389.6294998,2582.64941129
exp,20,2218.90560248,2382.57723356,2585.44963754
exp,21,2299.84248992,2467.40623315,2652.17371953
exp,22,2207.52174002,2362.4748111,2565.11198517
exp,23,2198.44260244,2396.95868191,2594.31499983
exp,24,2164.71347143,2321.33021589,2489.00044906
exp,25,2285.7523564,2457.01400647,2627.77278586
exp,26,2249.19863756,2406.68122653,2584.9339174
exp,27,2113.9923216,2245.7948076,2394.4673573
exp,28,2310.76153311,2479.48480722,2670.46855777
exp,29,2156.24086659,2312.82226973,2482.30004853
exp,30,2169.50547174,2355.52109305,2538.79865975
exp,31,2272.97371361,2464.72502562,2653.3905654
exp,32,2341.22304506,2505.20822527,2692.31541849
exp,33,2163.86699616,2305.60704154,2458.6917414
exp,34,2055.91058528,2207.29739125,2360.97196483
exp,35,2237.01931791,2410.6404156,2601.85721374
exp,36,2103.0597581,2253.06838307,2437.44674637
exp,37,2212.4857514,2372.40191541,2550.847466
exp,38,2133.67816475,2303.55664369,2484.15072772
exp,39,2138.33271596,2320.11298821,2520.40158927
exp,40,2161.54702291,2320.95395057,2496.62757241
exp,41,2239.02727026,2414.0714328,2590.35813225
exp,42,2273.06364701,2464.52376397,2654.02084069
